ticket_id,category,urgency,confidence,assigned_team,human_review_required,estimated_sla_hours,reason,recommended_action,extracted_keywords
T011,Security & Fraud,Critical,0.8,Security Operations Center (SOC),False,1,"Detected Security & Fraud domain indicators ('database', 'error', 'injection', 'sql'). Classification confidence: 80%.","Immediately isolate suspicious sessions, revoke auth tokens, and initiate security audit.","database, error, injection, sql, sql injection, vulnerability"
T012,Orders & Delivery,Medium,0.94,Orders & Fulfillment Team,False,24,"Detected Orders & Delivery domain indicators ('order', 'package', 'shipment'). Classification confidence: 94%.","Check courier tracking API status, confirm shipping address, and initiate courier tracer.","order, package, shipment"
T013,General Inquiry,Low,0.52,Human Review Queue (Uncertain Triage),True,48,Ticket lacks sufficient domain-specific context or technical detail. Routed to human triage queue.,Request clarification from customer regarding specific issue details and error messages.,
T014,Billing & Payments,High,0.88,Billing & Payments Team,False,6,Detected Billing & Payments domain indicators ('pricing'). Classification confidence: 88%.,"Review customer payment ledger, verify duplicate charge/invoice, and issue refund/receipt.",pricing
T015,General Inquiry,Medium,0.52,Human Review Queue (Uncertain Triage),True,24,Ticket lacks sufficient domain-specific context or technical detail. Routed to human triage queue.,Request clarification from customer regarding specific issue details and error messages.,help
T016,Billing & Payments,High,0.96,Billing & Payments Team,False,6,"Detected Billing & Payments domain indicators ('card', 'credit', 'renewal'). Classification confidence: 96%.","Review customer payment ledger, verify duplicate charge/invoice, and issue refund/receipt.","card, credit, renewal"
T017,Technical Support,High,0.84,Technical Support (Tier 2/3),False,3,"Detected Technical Support domain indicators ('api', 'endpoint', 'payment', 'webhook'). Classification confidence: 84%.","Inspect system telemetry/error logs, reproduce failure, and escalate to on-call engineering.","api, endpoint, payment, webhook, webhooks"
T018,Account & Access,High,0.94,Identity & Access Management,False,6,"Detected Account & Access domain indicators ('2fa', 'sign in', 'verification'). Classification confidence: 94%.",Verify customer identity via secondary channel and provide secure password/MFA reset link.,"2fa, sign in, verification"
T019,Technical Support,Critical,0.91,Technical Support (Tier 2/3),False,1,Detected Technical Support domain indicators ('api'). Classification confidence: 90%.,"Inspect system telemetry/error logs, reproduce failure, and escalate to on-call engineering.",api
T020,Orders & Delivery,Medium,0.91,Orders & Fulfillment Team,False,24,Detected Orders & Delivery domain indicators ('parcel'). Classification confidence: 90%.,"Check courier tracking API status, confirm shipping address, and initiate courier tracer.",parcel
T021,Product & Features,Low,0.91,Product Experience Team,False,48,"Detected Product & Features domain indicators ('hotkeys', 'shortcuts'). Classification confidence: 90%.",Log feature request in product backlog and share current product roadmap with customer.,"hotkeys, shortcuts"
T022,General Inquiry,Medium,0.91,Customer Care (Tier 1),False,12,"Detected General Inquiry domain indicators ('representative', 'sales'). Classification confidence: 90%.",Acknowledge inquiry and route to appropriate specialist or reply with informational FAQ.,"representative, sales"
T023,Billing & Payments,High,0.96,Billing & Payments Team,False,6,"Detected Billing & Payments domain indicators ('invoice', 'tax invoice', 'vat'). Classification confidence: 96%.","Review customer payment ledger, verify duplicate charge/invoice, and issue refund/receipt.","invoice, tax invoice, vat"
T024,Technical Support,High,0.88,Technical Support (Tier 2/3),False,3,Detected Technical Support domain indicators ('latency'). Classification confidence: 88%.,"Inspect system telemetry/error logs, reproduce failure, and escalate to on-call engineering.",latency
T025,Billing & Payments,High,0.78,Billing & Payments Team,False,6,"Detected Billing & Payments domain indicators ('access', 'billing', 'card', 'charged'). Classification confidence: 78%.","Review customer payment ledger, verify duplicate charge/invoice, and issue refund/receipt.","access, billing, card, charged, login"
